"Story","Title","Result","Date","Stability","Duration (s)"
"Tienda Virtual Automation Practice","creacion de cuenta de usuario","SUCCESS","2021-11-02T23:14:17.076-05:00[America/Bogota]","0.0","58.32"
"Tienda Virtual Automation Practice","comprar producto en automationpractice.com","SUCCESS","2021-11-02T23:15:15.396-05:00[America/Bogota]","0.0","59.47"
